Schedule,Depth,Operator Name,State Details
1,1,alloys_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 39), ('R2', 26)) (OUTPUTS (('R1', 39), ('R21', 13), (""R21'"", 13)))  EU: 27.320944444406916"
1,2,electronics_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 18), ('R2', 6), ('R21', 6)) (OUTPUTS (('R22', 6), (""R22'"", 6), ('R1', 18)))  EU: 44.488874242424245"
1,3,alloys_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 12), ('R2', 8)) (OUTPUTS (('R1', 12), ('R21', 4), (""R21'"", 4)))  EU: 45.80253136363636"
1,4,alloys_transform,"(TRANSFORM Carpania (INPUTS (('R1', 24), ('R2', 16)) (OUTPUTS (('R1', 24), ('R21', 8), (""R21'"", 8)))  EU: 43.51240479545454"
1,5,transfer,(TRANSFER Carpania Atlantis (R21 6))  EU: 43.97467410400299
1,6,transfer,(TRANSFER Carpania Atlantis (R21 1))  EU: 42.06628381782704
1,7,transfer,(TRANSFER Atlantis Carpania (R21' 17))  EU: 40.081502573282876
1,8,transfer,(TRANSFER Atlantis Carpania (R22' 6))  EU: 38.13683512940715
1,9,alloys_transform,"(TRANSFORM Carpania (INPUTS (('R1', 24), ('R2', 16)) (OUTPUTS (('R1', 24), ('R21', 8), (""R21'"", 8)))  EU: 36.2306221938131"
1,10,transfer,(TRANSFER Carpania Atlantis (R21 7))  EU: 35.63391818213083
,,,
2,1,alloys_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 30), ('R2', 20)) (OUTPUTS (('R1', 30), ('R21', 10), (""R21'"", 10)))  EU: 25.238333333054975"
2,2,electronics_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 15), ('R2', 5), ('R21', 5)) (OUTPUTS (('R22', 5), (""R22'"", 5), ('R1', 15)))  EU: 39.5520625"
2,3,alloys_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 21), ('R2', 14)) (OUTPUTS (('R1', 21), ('R21', 7), (""R21'"", 7)))  EU: 44.57517841911764"
2,4,housing_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 5), ('R2', 1), ('R3', 5), ('R21', 3)) (OUTPUTS (('R1', 5), ('R23', 1), (""R23'"", 1)))  EU: 46.78465720982142"
2,5,alloys_transform,"(TRANSFORM Carpania (INPUTS (('R1', 24), ('R2', 16)) (OUTPUTS (('R1', 24), ('R21', 8), (""R21'"", 8)))  EU: 44.44542434933034"
2,6,transfer,(TRANSFER Carpania Atlantis (R21 6))  EU: 45.37354691354195
2,7,transfer,(TRANSFER Carpania Atlantis (R21 1))  EU: 43.437017778298944
2,8,transfer,(TRANSFER Atlantis Carpania (R21' 17))  EU: 41.377621156106585
2,9,transfer,(TRANSFER Atlantis Carpania (R22' 5))  EU: 39.35549737318901
2,10,transfer,(TRANSFER Atlantis Carpania (R23' 1))  EU: 37.40490475590883
,,,
3,1,alloys_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 30), ('R2', 20)) (OUTPUTS (('R1', 30), ('R21', 10), (""R21'"", 10)))  EU: 25.238333333054975"
3,2,electronics_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 9), ('R2', 3), ('R21', 3)) (OUTPUTS (('R22', 3), (""R22'"", 3), ('R1', 9)))  EU: 37.17247083333333"
3,3,alloys_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 18), ('R2', 12)) (OUTPUTS (('R1', 18), ('R21', 6), (""R21'"", 6)))  EU: 40.025599236111105"
3,4,housing_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 10), ('R2', 2), ('R3', 10), ('R21', 6)) (OUTPUTS (('R1', 10), ('R23', 2), (""R23'"", 2)))  EU: 44.620785605654746"
3,5,electronics_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 6), ('R2', 2), ('R21', 2)) (OUTPUTS (('R22', 2), (""R22'"", 2), ('R1', 6)))  EU: 44.429948730580335"
3,6,alloys_transform,"(TRANSFORM Carpania (INPUTS (('R1', 24), ('R2', 16)) (OUTPUTS (('R1', 24), ('R21', 8), (""R21'"", 8)))  EU: 42.20845129405132"
3,7,transfer,(TRANSFER Carpania Atlantis (R21 6))  EU: 45.335558349405616
3,8,housing_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 5), ('R2', 1), ('R3', 5), ('R21', 3)) (OUTPUTS (('R1', 5), ('R23', 1), (""R23'"", 1)))  EU: 43.978395287350864"
3,9,transfer,(TRANSFER Carpania Atlantis (R21 1))  EU: 42.47086357453151
3,10,transfer,(TRANSFER Atlantis Carpania (R21' 16))  EU: 40.44225667971982
,,,
4,1,alloys_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 30), ('R2', 20)) (OUTPUTS (('R1', 30), ('R21', 10), (""R21'"", 10)))  EU: 25.238333333054975"
4,2,electronics_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 9), ('R2', 3), ('R21', 3)) (OUTPUTS (('R22', 3), (""R22'"", 3), ('R1', 9)))  EU: 37.17247083333333"
4,3,alloys_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 24), ('R2', 16)) (OUTPUTS (('R1', 24), ('R21', 8), (""R21'"", 8)))  EU: 40.96109062499999"
4,4,housing_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 5), ('R2', 1), ('R3', 5), ('R21', 3)) (OUTPUTS (('R1', 5), ('R23', 1), (""R23'"", 1)))  EU: 43.967286935661754"
4,5,alloys_transform,"(TRANSFORM Carpania (INPUTS (('R1', 24), ('R2', 16)) (OUTPUTS (('R1', 24), ('R21', 8), (""R21'"", 8)))  EU: 41.76892258887866"
4,6,transfer,(TRANSFER Carpania Atlantis (R21 6))  EU: 41.936512919776504
4,7,transfer,(TRANSFER Carpania Atlantis (R21 1))  EU: 40.092344824184835
4,8,transfer,(TRANSFER Atlantis Carpania (R21' 18))  EU: 38.2068391426774
4,9,transfer,(TRANSFER Atlantis Carpania (R22' 3))  EU: 36.32439351508665
4,10,transfer,(TRANSFER Atlantis Carpania (R23' 1))  EU: 34.525418924531984
,,,
5,1,alloys_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 30), ('R2', 20)) (OUTPUTS (('R1', 30), ('R21', 10), (""R21'"", 10)))  EU: 25.238333333054975"
5,2,electronics_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 9), ('R2', 3), ('R21', 3)) (OUTPUTS (('R22', 3), (""R22'"", 3), ('R1', 9)))  EU: 37.17247083333333"
5,3,alloys_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 24), ('R2', 16)) (OUTPUTS (('R1', 24), ('R21', 8), (""R21'"", 8)))  EU: 40.96109062499999"
5,4,housing_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 5), ('R2', 1), ('R3', 5), ('R21', 3)) (OUTPUTS (('R1', 5), ('R23', 1), (""R23'"", 1)))  EU: 43.967286935661754"
5,5,alloys_transform,"(TRANSFORM Carpania (INPUTS (('R1', 24), ('R2', 16)) (OUTPUTS (('R1', 24), ('R21', 8), (""R21'"", 8)))  EU: 41.76892258887866"
5,6,transfer,(TRANSFER Carpania Atlantis (R21 6))  EU: 41.936512919776504
5,7,transfer,(TRANSFER Carpania Atlantis (R21 1))  EU: 40.092344824184835
5,8,transfer,(TRANSFER Atlantis Carpania (R21' 18))  EU: 38.2068391426774
5,9,transfer,(TRANSFER Atlantis Carpania (R22' 3))  EU: 36.32439351508665
5,10,potentialRenewableEnergyUsable_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 6), ('R4', 2), ('R7', 2), ('R21', 4)) (OUTPUTS (('R1', 6), ('R27', 2), (""R27'"", 2)))  EU: 34.512031778900244"
,,,
